Entry	Entry Name	Protein names	Gene Names	Organism	Length	Virus hosts
Q0ZME7	SPIKE_CVHN5	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Human coronavirus HKU1 (isolate N5) (HCoV-HKU1)	1351	Homo sapiens (Human) [TaxID: 9606]
Q14EB0	SPIKE_CVHN2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Human coronavirus HKU1 (isolate N2) (HCoV-HKU1)	1351	Homo sapiens (Human) [TaxID: 9606]
Q3I5J5	SPIKE_BCRP3	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 2	Bat coronavirus Rp3/2004 (BtCoV/Rp3/2004) (SARS-like coronavirus Rp3)	1241	Rhinolophus ferrumequinum (Greater horseshoe bat) [TaxID: 59479]; Rhinolophus macrotis (Big-eared horseshoe bat) [TaxID: 196889]; Rhinolophus pearsonii [TaxID: 188571]; Rhinolophus sinicus (Chinese rufous horseshoe bat) [TaxID: 89399]
Q3LZX1	SPIKE_BCHK3	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 2	Bat coronavirus HKU3 (BtCoV) (SARS-like coronavirus HKU3)	1242	Rhinolophus sinicus (Chinese rufous horseshoe bat) [TaxID: 89399]
Q5MQD0	SPIKE_CVHN1	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Human coronavirus HKU1 (isolate N1) (HCoV-HKU1)	1356	Homo sapiens (Human) [TaxID: 9606]
Q6Q1S2	SPIKE_CVHNL	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S 2	Human coronavirus NL63 (HCoV-NL63)	1356	Homo sapiens (Human) [TaxID: 9606]
Q8BB25	SPIKE_CVP67	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Porcine hemagglutinating encephalomyelitis virus (strain 67N) (HEV-67N)	1349	Sus scrofa (Pig) [TaxID: 9823]
Q8JSP8	SPIKE_CVPIA	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Porcine hemagglutinating encephalomyelitis virus (strain IAF-404) (HEV)	1349	Sus scrofa (Pig) [TaxID: 9823]
Q8V436	SPIKE_CVBLU	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Bovine coronavirus (strain 98TXSF-110-LUN) (BCoV-LUN) (BCV)	1363	Bos taurus (Bovine) [TaxID: 9913]
Q91A26	SPIKE_CVBEN	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Bovine coronavirus (strain 98TXSF-110-ENT) (BCoV-ENT) (BCV)	1363	Bos taurus (Bovine) [TaxID: 9913]
Q9IKD1	SPIKE_CVRSD	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Rat coronavirus (strain 681) (RCV-SDAV) (Sialodacryoadenitis virus SDAV-681)	1360	Rattus norvegicus (Rat) [TaxID: 10116]
Q9QAQ8	SPIKE_CVBOK	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Bovine coronavirus (strain OK-0514) (BCoV) (BCV)	1363	Bos taurus (Bovine) [TaxID: 9913]
Q9QAR5	SPIKE_CVBLS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Bovine coronavirus (strain LSU-94LSS-051) (BCoV-LSU) (BCV)	1363	Bos taurus (Bovine) [TaxID: 9913]
A0A023NGM8	A0A023NGM8_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A023PTS3	A0A023PTS3_SARS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Rhinolophus affinis coronavirus	1259	
A0A023PUW9	A0A023PUW9_SARS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Rhinolophus affinis coronavirus	1259	
A0A023SFE5	A0A023SFE5_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A023VYK5	A0A023VYK5_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human betacoronavirus 2c Jordan-N3/2012	1353	
A0A023VZB8	A0A023VZB8_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A023VZC9	A0A023VZC9_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A023VZD9	A0A023VZD9_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A023Y9K3	A0A023Y9K3_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	BtVs-BetaCoV/SC2013	1322	
A0A024BSJ1	A0A024BSJ1_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A024E0Q9	A0A024E0Q9_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A024E285	A0A024E285_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A059SQG9	A0A059SQG9_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Bovine coronavirus	1363	
A0A059V774	A0A059V774_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A088DJY6	A0A088DJY6_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Bat Hp-betacoronavirus/Zhejiang2013	1317	
A0A096XNE4	A0A096XNE4_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Longquan Aa mouse coronavirus	1357	
A0A096XNG8	A0A096XNG8_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Longquan Rl rat coronavirus	1349	
A0A096XNH1	A0A096XNH1_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Longquan Rl rat coronavirus	1365	
A0A096XNI4	A0A096XNI4_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Longquan Rl rat coronavirus	1349	
A0A096XNM6	A0A096XNM6_SARS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Bat SARS-like coronavirus	1242	
A0A0A0Q3U6	A0A0A0Q3U6_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0A0Q4T9	A0A0A0Q4T9_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0A0Q4U2	A0A0A0Q4U2_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0A0Q4U5	A0A0A0Q4U5_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0A0Q4V1	A0A0A0Q4V1_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0A0Q5X2	A0A0A0Q5X2_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0A0Q5X5	A0A0A0Q5X5_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0A0Q7F3	A0A0A0Q7F3_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0A0Q7F6	A0A0A0Q7F6_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0A0Q7F8	A0A0A0Q7F8_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0A0Q7G4	A0A0A0Q7G4_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0A0YKA3	A0A0A0YKA3_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0A0YL58	A0A0A0YL58_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0A7E658	A0A0A7E658_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0A7E695	A0A0A7E695_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0A7E6A4	A0A0A7E6A4_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0A7KRJ0	A0A0A7KRJ0_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A0A7UZR7	A0A0A7UZR7_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Betacoronavirus HKU24	1358	
A0A0B4N5X0	A0A0B4N5X0_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1362	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N5X3	A0A0B4N5X3_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1360	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N5Y2	A0A0B4N5Y2_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N5Z0	A0A0B4N5Z0_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N5Z6	A0A0B4N5Z6_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N604	A0A0B4N604_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N608	A0A0B4N608_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N611	A0A0B4N611_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N687	A0A0B4N687_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1362	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N694	A0A0B4N694_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N699	A0A0B4N699_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N6A4	A0A0B4N6A4_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N6A6	A0A0B4N6A6_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N6A9	A0A0B4N6A9_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N6B2	A0A0B4N6B2_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N6B6	A0A0B4N6B6_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N6B8	A0A0B4N6B8_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N6J3	A0A0B4N6J3_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1362	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N6J6	A0A0B4N6J6_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1362	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N6J8	A0A0B4N6J8_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1361	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N6K0	A0A0B4N6K0_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N6K3	A0A0B4N6K3_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N6K6	A0A0B4N6K6_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N6K8	A0A0B4N6K8_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
A0A0B4N6L4	A0A0B4N6L4_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus OC43 (HCoV-OC43)	1358	Homo sapiens (Human) [TaxID: 9606]
